category,Regex,Concept
cultural_dim,(?i)\bkeep\s+(alberta|british columbia|manitoba|new brunswick|newfoundland(?: and labrador)?|nova scotia|ontario|prince edward island|qu[eé]bec|saskatchewan)\s+strong\b,Keep Region strong
political_rights_dim,"(?i)\b(?:immigration|migration|asylum)\b(?:\s+\w+){0,5}?\s+\b(?:ban|limit|curb|restrict|halt|stop(?:\s+against)?|oppose|deter)\b|\b(?:ban|limit|curb|restrict|halt|stop(?:\s+against)?|oppose|deter)\b(?:\s+\w+){0,5}?\s+\b(?:immigration|migration|asylum)\b",Reducing AND Immigration
political_rights_dim,(?i)(?=.*\b(block|ban|stop|halt|boycott|deny|reject|refus(?:e|ed|ing|es)|oppose|fight|resist|limit|curb|restrict|cut|reduce|scale[- ]?back|contain|clamp[- ]?down|crack[- ]?down|end|terminate|cancel|scrap|axe|rid|phase[- ]?out|danger|threat|invasion|flood|madness|nonsense|insanity|absurd|lunacy|ruin|collapse|downfall|disaster|no|never)\b)(?=.*\b(africa|african|middle[- ]?east|arab|muslim|syrian|afghan|somali|maghreb(?:i)?|north[- ]?african|asian|south[- ]?asian|pakistan(?:i)?|indian|chinese|china|hong[- ]?kong|latin[- ]?america(?:n)?|mexic(?:o|an)|haiti(?:an)?|caribbean|balkan|serb|croat|bosni|third[- ]?world)\b).*,Various ethnic groups and Various negative terms. (Could be be better organized)
political_rights_dim,(?i)(?=.*\b(residence\s+permit|residency\s+status|immigration\s+status|permanent\s+residen(?:cy|t)|pr\s+status|asylum\s+(?:status|decision|claim)|right\s+to\s+(?:remain|stay)|temporary\s+resident\s+permit|citizenship|naturalisa(?:tion|tion)|naturaliza(?:tion))\b)(?=.*\b(revok(?:e|ed|ing|ation)|withdraw(?:n|al|ing)?|strip(?:ped)?|rescind(?:ed|ing)?|cancel(?:led|ation|ing)?|terminate(?:d|s|ion)?|den(?:y|ied|ial)|limit(?:ed|ing|s)?|restrict(?:ed|ion|ing)?|time[- ]?limited|expiry|expire|not\s+renewed|temporary)\b).*,"Various forms of legalized migrant status and terms about rejecting, limiting or revoking"
political_rights_dim,(?i) (?=.*\b(?:illegal|irregular|unauthori(?:s|z)ed|unlawful|illicit|prohibit(?:ed|ion)|forbidden|banned|not\s+lawful|against\s+the\s+law)\b) (?=.*\b(?:immigrants?|migrants?|migration|refugee[s]?|asylum|foreign(?:er|ers|[ -]?nationals?)|border\s+crossers?|non[- ]?citizens?|muslim(?:s)?)\b).*,Migrants and terms about illegality
political_rights_dim,(?i)(?=.*\b(illegal|irregular|unauthori(?:s|z)ed|unlawful|illicit|prohibit(?:ed|ion)|forbidden|banned|not\s+lawful|against\s+the\s+law)\b)(?=.*\b(africa|african|arab|muslim|middle[- ]?east|syrian|afghan|somali|maghreb(?:i)?|north[- ]?african|asian|south[- ]?asian|pakistan(?:i)?|indian|chinese|china|hong[- ]?kong|latin[- ]?america(?:n)?|mexic(?:o|an)|haiti(?:an)?|caribbean|balkan|serb|croat|bosni|non[- ]?european|third[- ]?world)\b).*,Various ethic groups and terms about illegality
political_rights_dim,(?i)(?=.*\b(asylum|refugee[s]?)\b)(?=.*\b(fraud|scam|abuse|bogus|fake|sham|misuse)\b).*,Refugee status and terms implying abuse
political_rights_dim,(?i)(?=.*\b(wave[- ]?through|rubber[- ]?stamp(?:ed|ing)?|fast[- ]?track(?:ed|ing)?)\b)(?=.*\b(immigrants?|migrants?|migration|refugee[s]?|asylum|border\s+crossers?|visa[s]?|claimants?|foreign(?:er| nationals?)|illegals?)\b).*,Various migrant terms and terms implying lax legal process
political_rights_dim,(?i)(?=.*\b(immigrants?|migrants?|migration|refugee[s]?|asylum|border\s+crossers?|muslim(?:s)?)\b)(?=.*\b(flood\w*|waves?|tidal[- ]?waves?|tsunami|surge|influx|mass(?:es)?)\b).*,"Migrants and flood metaphors, large scale terms and over-capacity terms"
political_rights_dim,(?i)(?=.*\b(caps?|limit|limits|quota|quotas|ceiling|upper\s+limit|maximum|max\w*)\b)(?=.*\b(immigrants?|migrants?|migration|refugee[s]?|asylum|border\s+crossers?|foreign(?:er|ers|[ -]?nationals?))\b).*,Various migrant terms and terms about maximum capacity
political_rights_dim,(?i)(?=.*\b(caps?|limit|limits|quota|quotas|ceiling|upper\s+limit|maximum|max\w*)\b)(?=.*\b(africa|african|arab|muslim|middle[- ]?east|syrian|afghan|somali|maghreb(?:i)?|north[- ]?african|asian|south[- ]?asian|pakistan(?:i)?|indian|chinese|china|hong[- ]?kong|latin[- ]?america(?:n)?|mexic(?:o|an)|haiti(?:an)?|caribbean|balkan|serb|croat|bosni|non[- ]?european|third[- ]?world)\b).*,Various ethic groups and terms about maximum capacity
political_rights_dim,(?i)(?=.*\b(cap|limit|ceiling|maximum)\b)(?=.*\b(accept|handle|cope|bear|manage|shoulder|capacity|burden|quotas?)\b)(?=.*\b(immigration|immigrants?|migrants?|refugee[s]?|asylum|border\s+crossers?|foreign(?:er| nationals?))\b).*,"Various migrant terms, a term about burden and a term about limit."
political_rights_dim,(?i)(?=.*\b(?:assimilat\w*|integrat\w*|adapt\w*|fit\s+in)\b|adapt|adjust)(?=.*\b(?:refus\w*|resist\w*|reject\w*|unwilling\w*|unable|inability)\b),Term about integration and terms about refusal
political_rights_dim,(?i)\b(?:want|need|seek|prefer|desire|require|call\s+for)(?:s|ed)?\s+(?:immigrants?|migrants?|refugee[s]?|asylum\s+seekers?|newcomers?)\b.*?\b(?:willing|ready|able)\s+(?:to\s+)?(?:assimilate|integrate|adapt|fit\s+in)\b,"Term for immigrants groups, Term for desire, Term for willingness to integrate"
political_rights_dim,(?i)^(?=.*\b(?:immigrants?|migrants?|migration|refugee(?:s)?|asylum\s+seekers?|newcomers?)\b)(?=.*\b(?:integration|assimilate|integrate|adapt|fit\s+in)\b)(?=.*\b(?:before|prior\s+to|ahead\s+of|rather\s+than|over)\b).*,"Term for Immigration or immigrant groups, term for prioritizing, term for integration"
political_rights_dim,(?i)\b(?:(?:onus|burden|responsibilit(?:y|ies))\s+(?:is\s+on|lies\s+with|falls\s+on)\s+(?:immigrants?|migrants?|newcomers?)|(?:immigrants?|migrants?|newcomers?)['’]s\s+(?:onus|burden|responsibilit(?:y|ies)))\b,"Term for responsibility, term for migrant group and a verb or marker of ownership"
political_rights_dim,"(?ix)\b(?:(?:(?:Alberta|Manitoba|Saskatchewan|Ontario|Qu[ée]bec|British\s+Columbia|Newfoundland(?:\s+and\s+Labrador)?|Nova\s+Scotia|New\s+Brunswick|Prince\s+Edward\s+Island|PEI|Yukon|Northwest\s+Territories|Nunavut)(?:[’’]s)?|Canada(?:'s)|Canadian(?:'s))\s+(?:\w+\s+){0,1}?(?:guiding|dominant|core|foundational|host|western)\s+(?:culture|values|heritage)|(?:guiding|dominant|core|foundational|host|western)\s+(?:culture|values|heritage)\s+(?:\w+\s+){0,1}?(?:(?:Alberta|Manitoba|Saskatchewan|Ontario|Qu[ée]bec|British\s+Columbia|Newfoundland(?:\s+and\s+Labrador)?|Nova\s+Scotia|New\s+Brunswick|Prince\s+Edward\s+Island|PEI|Yukon|Northwest\s+Territories|Nunavut)(?:[’']s)?|Canada(?:'s)|Canadian(?:'s)))\b","term for province or region, term for centrality, the word culture, value or tradition and a verb of ownership"
political_rights_dim,(?i)\b(?:(?:parallel|separate)\s+(?:societ(?:y|ies)|commun(?:ity|ities)|culture(?:s)?)|ethnic\s+(?:enclave|pocket|island|cluster)s?|ghetto(?:s|ization|isation)|self[- ]?segregat(?:ion|ed|ing)?|insular\s+commun(?:ity|ities)|closed\s+commun(?:ity|ities)|cultural\s+island(?:s)?|no[- ]?go\s+zone(?:s)?)\b,Terms for self segregation of ethnic groups
economic_dim,(?i)^(?=.*\b(?:immigrants?|migrants?|refugees?|asylum(?:\s+seekers?)?|foreign(?:ers?|[ -]?nationals?)|non[- ]?citizens?|newcomers?|illegals?)\b)(?=.*\b(?:jobs?|employment|labou?r\s+market|work\s+market)\b)(?=.*\b(?:steal\w*|snatch\w*|undercut\w*|displace\w*|compete(?:s|ing)?(?:\s+(?:with|against))?|take\s+jobs)\b).*$,"Term for immigrant groups, term for job and term for stealing or competition"
economic_dim,(?i)^(?=.*\b(?:immigrants?|migrants?|refugees?|asylum(?:\s+seekers?)?|foreigners?|non[- ]?citizens?|newcomers?)\b)(?=.*\b(?:welfare|benefit[s]?|social\s+benefit[s]?|EI)\b)(?=.*\b(?:drain\w*|burden\w*|strain\w*|exploit\w*|swamp\w*|mooch|freeloads?|handouts?|free\s+ride|foot\s+the\s+bill|cost(?:s|ing)?|expense(?:s)?)\b).*,"Term for immigrant groups, term for welfare and term for burdening or profetering"
economic_dim,(?i)\b(?:our\s+province|canadian(?:s)?|citizens?|locals?|nationals?|our\s+people|native(?:s)?|old[- ]?stock(?:\s+canadians?)?|Alberta|Manitoba|Saskatchewan|Ontario|Qu[ée]bec|British\s+Columbia|Newfoundland(?:\s+and\s+Labrador)?|Nova\s+Scotia|New\s+Brunswick|Prince\s+Edward\s+Island|PEI|Yukon|Northwest\s+Territories|Nunavut)\s+first\b(?![-\s]+(?:nations?\b|time\b)),Term for the locality-first (Canada first!)
religious_dim,(?i)^(?=.*\b(?:islam|islamic|muslim(?:s)?)\b)(?=.*\b(?:immigrants?|migrants?|migration|refugee[s]?|asylum|foreign(?:ers?|[ -]?nationals?)|newcomers?|border\s+crossers?|(?:coming|into)\s+canada|third[- ]?country\s+nationals?)\b).*,Term for islamic and term for migrant
religious_dim,(?i)(?=.*\b(islam|islamic|muslim(?:s)?)\b)(?=.*\b(fundamental(?:ist|ism)?|danger(?:ous)?|threat|crisis|problem|radical(?:ism|ist)?|extrem(?:e|ism|ist)?|legal\s+system|intolerant|tolerant|indoctrinat(?:e|ion)|teaching)\b).*,Term for islamic and terms associated with radical islam
religious_dim,(?i)\bIslam\s+(?:belongs?\s+(?:in|to)|(?:does\s+not|doesn't|is\s+not|isn't|is\s+no)\s+part\s+of)\b,The word Islam and terms for the negation of belonging
religious_dim,(?i)\b(political\s+islam|islamism|islamist(?:s)?)\b,Terms for political Islam
religious_dim,(?i)\b(child\s+(?:marriage|marriages|wedding|weddings|bride|brides)|forced\s+(?:marriage|marriages|wedding|weddings|union|unions))\b,Terms for forced or underaged marriages
religious_dim,(?i)(?=.*\b(?:burqa|niqab|hijab|head[- ]?scarf|veil)\b)(?=.*\b(?:force|forcing|forced|compulsion|mandat(?:e|ory)|require(?:d|ment|s)?|obligat(?:ion|ory)|must\s+wear|made\s+to\s+wear|duty\s+to\s+wear|dress\s+code)\b).*,Terms for islamic headgear and terms for imposition
religious_dim,(?i)\b(jihad|jihadist(?:s)?|jihadism)\b,The word Jihad and it’s declinaisons
religious_dim,(?i)\b(honou?r[- ]?killings?|honou?r[- ]?based\s+(?:murder|violence))\b,Terms for honour killings
religious_dim,(?i)\b(fundamentalist(?:s)?|fundamentalism)\b,Fundamentalism
religious_dim,(?i)\b(?:female\s+genital\s+mutilation|FGM|female\s+genital\s+cutting|FGC|female\s+circumcision|clitoridectomy|excision|infibulation|sunna)\b,Excision
religious_dim,(?i)\b(islamiz(?:e|ed|ing|ation)|islamis(?:e|ed|ing|ation)|islamisation|islamization)\b,Verb for making something more islamic
religious_dim,(?i)\b(?:niqab|burqa|head[- ]?scarf(?:s|ves)?|full[- ]?body[- ]?cover(?:ing|ings)?|full[- ]?face[- ]?cover(?:ing|ings)?|face[- ]?veil(?:ing)?|full[- ]?veil(?:ing)?|veil(?:ed|ing)?|veiling)\b,Niqab and it’s variants
religious_dim,(?i)\b(salafi(?:s|st)?|salafist(?:s)?|salafism)\b,Salafism 
religious_dim,(?i)\b(shechita|ritual\s+slaughter|religious\s+slaughter|halal\s+slaughter|kosher\s+slaughter|slaughter\s+without\s+stunning)\b,Halal and Kosher food processing
religious_dim,(?i)\b(shari(?:a|ah)|shari'ah|sharia\s+law)\b,Shariah
law_and_order_dim,(?i)^(?=.*\b(?:crime|offenc(?:e|es)|murder\w*|assault\w*|violence|robber\w*|theft|fraud|gangs?|homicid\w*|arson|terror(?:ism|ist|ists)?|shoot(?:ing)?|stab(?:bing)?|rape|burglary|threat\w*|danger\w*|scam(?:s|ming)?|violent(?:s|ence)?|killer(?:s)?|radical(?:ism|ize|ized)?|extrem(?:ism|ist)?|felon\w*|wrongdoing(?:s)?)\b)(?=.*\b(?:african(?:s)?|arab(?:s)?|muslim(?:s)?|islamist(?:s)?|middle[- ]?east(?:ern)?|syrian(?:s)?|afghan(?:s)?|somali\w*|maghreb(?:i)?|asian(?:s)?|chinese|pakistan(?:i)?|bangladeshi\w*|indian(?:s)?|filipino(?:s)?|vietnamese|jamaican(?:s)?|caribbean|haitian(?:s)?|latin[- ]?american(?:s)?|mexican(?:s)?|balkan(?:s)?|serb(?:ian)?(?:s)?|croat(?:s)?|bosni(?:an)?(?:s)?|west[- ]?indian(?:s)?)\b).*,Terms for violence and crime and various foreign nationalities
law_and_order_dim,(?i)\b(?:foreign(?:ers?)?'?\s+law(?:s)?|their\s+laws?|subcultural\s+law(?:s)?|(?:faith[- ]?based|religious)\s+arbitration|sharia(?:\s+law)?|immigration\s+law|sharia\s+court(?:s)?|religious\s+tribunal(?:s)?|church\s+court(?:s)?|rabbinical\s+court(?:s)?|beis\s+din|beth\s+din|parallel\s+(?:justice|court(?:s)?|legal\s+system)|dual(?:-|\s)?justice(?:\s+system)?|alternative\s+justice|alternative\s+court(?:s)?)\b,alternative dispute resolution terms
law_and_order_dim,(?i)\b(?:foreign|other|their)\b(?:\s+\w+)?\s+(?:legal\s+(?:system|order)|understanding\s+of\s+law|law)\b,Terms representing legal system and terms representing othering
